timestamp,flex1,flex2
1772275872.0551598,49,55
1772275874.5563302,49,55
1772275877.0855541,49,55
1772275879.6414783,49,55
1772275882.1668482,49,55
1772275884.6711566,49,55
1772275887.1952877,49,55
1772275889.7149353,49,55
1772275892.3672862,49,55
1772275894.885237,49,55
1772275897.4006898,49,55
1772275899.950619,49,55
1772275902.5173116,49,55
1772275905.157447,49,55
1772275907.7091663,49,55
1772275910.2726698,49,55
1772275912.844855,49,55
1772275915.3994353,49,55
1772275917.9147904,49,55
1772275920.4661577,49,55
1772275923.0002117,49,55
1772275925.5716224,49,55
1772275928.1989875,49,55
1772275930.757203,49,55
1772275933.317993,49,55
1772275935.8802125,49,55
1772275938.3959231,49,55
1772275940.9053226,49,55
1772275943.5691507,49,55
1772275946.059549,49,55
1772275948.5905113,49,55
1772275951.1380806,49,55
1772275953.7005212,49,55
1772275956.2145054,49,55
1772275958.7248309,49,55
1772275961.308241,49,55
1772275963.8749511,49,55
1772275966.4295204,49,55
1772275968.9888465,49,55
1772275971.4856913,49,55
1772275973.9954195,49,55
1772275976.5120015,49,55
1772275979.0684173,49,55
1772275981.5732577,49,55
1772275984.115283,49,55
1772275986.6679714,49,55
1772275989.3098183,49,55
1772275991.8162882,49,55
1772275994.4672554,49,55
1772275996.9795349,49,55
1772275999.5638864,49,55
1772276002.0757878,49,55
1772276004.6734605,49,55
1772276007.2306454,49,55
1772276009.7939584,49,55
1772276012.3219497,49,55
1772276014.818964,49,55
1772276017.3794641,49,55
1772276019.9631264,49,55
1772276022.578315,49,55
1772276025.7893493,49,55
1772276028.363472,49,55
1772276030.8563225,49,55
1772276033.3989763,49,55
1772276035.950806,49,55
1772276038.5888402,49,55
1772276041.0943532,49,55
1772276043.714646,49,55
1772276046.2665992,49,55
1772276048.8359575,49,55
1772276051.3929925,278,310
1772276053.8797925,278,310
1772276056.4387465,278,310
1772276058.9883971,278,310
1772276061.496002,278,310
1772276064.060232,278,310
1772276066.589082,198,176
1772276069.0926259,198,176
1772276071.5904145,198,176
1772276074.1024463,198,176
1772276076.6827009,198,176
1772276079.23938,198,176
1772276081.7386818,198,176
1772276084.2750297,198,176
1772276086.8246129,198,176
1772276089.3984873,198,176
1772276091.978578,198,176
1772276094.5979867,198,176
1772276097.1638246,198,176
1772276099.7075562,198,176
1772276102.2227216,198,176
1772276104.7581427,198,176
1772276107.2629378,198,176
1772276109.8048124,198,176
1772276112.3531883,198,176
1772276114.8995779,198,176
1772276117.4782653,198,176
1772276120.0428133,198,176
1772276122.5988708,198,176
1772276125.0973816,198,176
1772276127.675093,198,176
1772276130.2039988,198,176
1772276132.788728,198,176
1772276135.3240054,198,176
1772276138.8376472,198,176
1772276141.3493211,198,176
1772276143.9563298,198,176
1772276146.5064232,198,176
1772276149.0790658,198,176
1772276151.6046166,198,176
1772276154.1127765,198,176
1772276156.95054,198,176
1772276159.5791728,198,176
1772276162.1211188,198,176
1772276164.6785414,198,176
1772276167.221756,198,176
1772276169.782218,198,176
1772276172.2847466,198,176
1772276174.9005067,198,176
1772276177.483408,198,176
1772276180.038091,198,176
1772276182.559608,47,37
1772276185.0745263,47,37
1772276187.6205847,47,37
1772276190.1376653,47,37
1772276192.674759,47,37
1772276195.2344065,47,37
1772276197.9751186,47,37
1772276200.508071,47,37
1772276203.0772674,47,37
1772276205.583176,47,37
1772276208.1031613,47,37
1772276210.6588516,47,37
1772276213.2140055,47,37
1772276215.7898424,47,37
1772276218.3753328,47,37
1772276220.948205,47,37
1772276223.4579852,47,37
1772276225.9795644,47,37
1772276228.5151756,47,37
1772276231.0807128,47,37
1772276233.6281776,47,37
1772276236.2715275,47,37
1772276238.821044,47,37
1772276241.4043784,47,37
1772276243.982541,47,37
1772276246.5085692,47,37
1772276249.0213385,47,37
1772276251.5309572,47,37
1772276254.4974594,47,37
1772276256.9893472,47,37
1772276259.4866729,47,37
1772276262.077341,47,37
1772276264.6489859,47,37
1772276267.2273343,47,37
1772276269.7950954,47,37
1772276272.3651056,47,37
1772276274.9074934,47,37
1772276277.4226816,47,37
1772276279.9719374,47,37
1772276282.5949159,47,37
1772276285.158623,47,37
1772276287.7254438,47,37
1772276290.2668102,47,37
1772276292.8347964,47,37
1772276295.3587275,47,37
1772276297.8857956,411,391
1772276300.4224384,411,391
1772276303.0057092,411,391
1772276305.56585,411,391
1772276308.1848984,411,391
1772276310.687301,411,391
1772276313.2448854,411,391
